품명,품번,측정시간,측정자,검사형태,검사시간대,종믈검사,번호,도형,항목,측정값,기준값,상한공차,하한공차,편차,판정,품질상태
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,69,원7(E) <- 원4의 되부름,X,0.046,0.000,0.200,-0.200,0.046,|+,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,69,원7(E) <- 원4의 되부름,Y,0.133,0.000,0.200,-0.200,0.133,|+++,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,69,원7(E) <- 원4의 되부름,D,25.726,26.100,0.000,-0.500,-0.374,--|,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,69,원7(E) <- 원4의 되부름,동심도,0.281,0.000,-,-,-,-,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,69,원7(E) <- 원4의 되부름,SMmf,5P,0.003,0.004,-0.005,0.009,-,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,75,점28 <- 점27의 되부름 <소재 원점>,X,116.633,116.600,0.100,0.000,0.033,--|,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,75,점28 <- 점27의 되부름 <소재 원점>,Y,-10.903,-10.900,0.100,-0.100,0.003,|+,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,77,각도2 <- 각도[XYPLAN]:직선23와 직선24,Ang,57.112,57.121,0.333,-0.333,-0.009,-|,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,79,점29 <- 점13의 되부름 <소재원점>,X,72.920,72.870,0.100,-0.030,0.050,|+,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,79,점29 <- 점13의 되부름 <소재원점>,Y,-2.408,-2.300,0.100,-0.100,0.108,0.008,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,80,점30 <- 점18의 되부름 <소재원점>,X,72.938,72.870,0.100,-0.030,0.068,|+++,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,80,점30 <- 점18의 되부름 <소재원점>,Y,-2.377,-2.300,0.100,-0.100,0.077,|++++,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,81,직선25 <- 직선18의 되부름,X/Y,-14.563,-14.500,0.500,-0.500,0.063,|+,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,82,직선26 <- 직선16의 되부름,X/Y,14.461,14.500,0.500,-0.500,-0.039,-|,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,86,거리4 <- XAXIS[평균]:점32와 점31 <소재기준>,DS,10.346,10.300,0.100,-0.100,0.046,|++,OK
