,편차_평면1_평면도,편차_원1(I) <상>_D,편차_원2(I) <중>_D,편차_원3(I) <하>_D,"편차_원통1(I) <- 원1, 원2, 원3의 측정점 병합_D","편차_원통1(I) <- 원1, 원2, 원3의 측정점 병합_직각도",편차_점2 <- 점1의 되부름 <열전 관리치수(Spec : 116.6±0.1)>_X,편차_점2 <- 점1의 되부름 <열전 관리치수(Spec : 116.6±0.1)>_Y,편차_각도1 <- 각도[XYPLAN]:직선2와 직선3_Ang,편차_직선4 <27° 소재>_Y/X,편차_직선5 <7.5° 소재>_Y/X,편차_점3 <- 직선4와 직선5의 교차점 <소재>_X,편차_직선6 <35.9° 소재>_Y/X,편차_점4 <- 직선6와 직선5의 교차점 <소재>_X,편차_점4 <- 직선6와 직선5의 교차점 <소재>_Y,편차_직선7 <23.1°>_Y/X,편차_직선8 <6°>_Y/X,편차_점5 <- 직선8와 직선7의 교차점_X,편차_점5 <- 직선8와 직선7의 교차점_Y,편차_원4(E) <소재>_X,편차_원4(E) <소재>_Y,편차_원4(E) <소재>_D,편차_점6 <- 직선9와 직선10의 교차점 <소재>_X,편차_점6 <- 직선9와 직선10의 교차점 <소재>_Y,편차_점7 <- 직선10와 직선11의 교차점 <소재>_X,편차_점7 <- 직선10와 직선11의 교차점 <소재>_Y,편차_점8 <- 직선13와 직선12의 교차점 <소재>_X,편차_직선14 <23.1° 소재>_Y/X,편차_직선16 <우상 소재>_X/Y,편차_직선18 <좌상 소재>_X/Y,편차_거리1 <- XAXIS[PT]:점9와 점10 <상>_DS,편차_점13 <- 점11와 점12의 중점 <열전관리_상>_X,편차_직선19 <좌하 소재>_X/Y,편차_직선21 <우하 소재>_X/Y,편차_거리2 <- XAXIS[PT]:점14와 점15 <하>_DS,편차_점18 <- 점16와 점17의 중점 <열전관리_하>_X,편차_점19 <상>_Y,편차_점20 <하>_Y,편차_원5(I) <상부>_Y,편차_원5(I) <상부>_D,편차_원6(I) <하부>_Y,편차_원6(I) <하부>_D,편차_거리3 <- XYPLAN[PT]:원5와 원통1_DS,편차_평면2_Z,편차_평면2_평면도,편차_평면2_평행도,"편차_평면3 <- 점21, 점22, 점23, ... , 점26의 측정점 병합 <마이크로미터로 측정 해볼 것 !!!!!!!!!!!!!!!!>_Z","편차_평면3 <- 점21, 점22, 점23, ... , 점26의 측정점 병합 <마이크로미터로 측정 해볼 것 !!!!!!!!!!!!!!!!>_평면도","편차_평면3 <- 점21, 점22, 점23, ... , 점26의 측정점 병합 <마이크로미터로 측정 해볼 것 !!!!!!!!!!!!!!!!>_평행도",편차_원7(E) <- 원4의 되부름_X,편차_원7(E) <- 원4의 되부름_Y,편차_원7(E) <- 원4의 되부름_D,편차_점28 <- 점27의 되부름 <소재 원점>_X,편차_점28 <- 점27의 되부름 <소재 원점>_Y,편차_각도2 <- 각도[XYPLAN]:직선23와 직선24_Ang,편차_점29 <- 점13의 되부름 <소재원점>_X,편차_점29 <- 점13의 되부름 <소재원점>_Y,편차_점30 <- 점18의 되부름 <소재원점>_X,편차_점30 <- 점18의 되부름 <소재원점>_Y,편차_직선25 <- 직선18의 되부름_X/Y,편차_직선26 <- 직선16의 되부름_X/Y,편차_거리4 <- XAXIS[평균]:점32와 점31 <소재기준>_DS
count,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0
mean,-0.0976210979547901,0.002254036598493127,0.007301399354144378,0.0019009687836385408,0.003790096878363939,-0.033054897739504846,0.05753390742734722,0.005383207750268745,-0.2564962325080731,0.163805166846071,-0.02347900968783634,-0.1748546824542545,-0.1334219590958005,-0.03229278794402606,0.26637997847147477,0.15455758880516537,0.17803229278794402,-0.0661916038751346,0.15543272335844846,0.02417653390742734,0.10540796555435954,-0.40740688912809614,0.053961248654465666,0.10449300322927878,0.09665231431646935,0.09290635091496265,-0.13254682454252428,0.07871582346609113,0.08882023681377826,-0.171021528525296,0.03238966630785719,0.016553283100103233,-0.37908611410118404,-0.2523810548977395,0.0030871905274481417,0.029719052744882762,0.0381872981700755,-0.019473627556512194,0.014315392895586638,0.0255662002152852,0.03832938643702903,0.02262002152852525,0.015135629709364877,0.32028310010764266,-0.031685683530678146,0.024248654467168947,0.5444585575888045,-0.03725618945102261,0.033856835306781435,0.02417653390742734,0.10540796555435954,-0.40740688912809614,0.07716576964478475,0.007213132400430165,0.015963401506994532,0.056476856835303076,0.07964155005382141,0.0696071044133424,0.0471862217438107,-0.12242195909580189,0.04017330462863294,0.032383207750268386
std,0.0007855281004805109,0.010439070311501972,0.009718982946029483,0.010345168429576411,0.009524925835266295,0.014181102355779367,0.1008015568323394,0.009421040856505204,2.168068213970123,0.08664146379844359,0.03179374939736369,0.04665804831027813,0.0902160755804673,0.03390310676562306,0.023200421453132787,0.05638676065299811,0.026251170565369384,0.042641396311907116,0.026952185576280364,0.019005870475782533,0.03881119168841215,0.015208401287780107,0.036557916452332556,0.02992073228363565,0.036666934882963034,0.026479718420701872,1.3049847973636919,0.0668030186040027,0.333899303069099,0.4162919565287151,0.020753036254711994,0.029478177428223746,0.17465490947567663,0.33471570075267104,0.023929357635784694,0.029654724153479806,0.021137567933535644,0.04373851578181956,0.04015281410406814,0.023822986280250636,0.04120090086987799,0.02330880743150207,0.03341469631145667,0.04248324396706521,0.04819992733655184,0.07717732856211729,0.05192765456568467,0.015786118510236806,0.04699282271748188,0.019005870475782533,0.03881119168841215,0.015208401287780107,0.03341714005467728,0.003134519944944267,0.18718052885715683,0.015261222284833217,0.014351560206241159,0.01731315254934847,0.030328282571688587,0.41450433188955854,0.3333606102132666,0.02075611610218841
min,-0.1,-0.0549999999999997,-0.0410000000000003,-0.0410000000000003,-0.041999999999998,-0.05,-0.9909999999999995,-0.0929999999999999,-26.361,-0.6430000000000007,-0.25,-0.421999999999997,-0.5109999999999957,-0.1389999999999958,0.1260000000000012,-0.1770000000000031,0.0410000000000003,-0.2550000000000025,0.0569999999999986,0.0,0.002,-0.4530000000000029,-0.0480000000000018,-0.0060000000000002,-0.100999999999999,-0.0009999999999994,-12.967000000000006,-0.3410000000000011,-1.5340000000000007,-2.8260000000000005,-0.0350000000000001,-0.1020000000000038,-2.0470000000000006,-3.3390000000000004,-0.0790000000000006,-0.0720000000000027,-0.0829999999999997,-0.1919999999999997,-0.2370000000000001,-0.2610000000000001,-0.145,-0.25,-0.0670000000000001,0.1820000000000003,-0.046,-0.03,0.266,-0.049,-0.024,0.0,0.002,-0.4530000000000029,-0.0150000000000005,-0.0010000000000012,-2.065000000000005,-0.0500000000000113,0.032,-0.0190000000000054,-0.0699999999999998,-2.76,-1.564,-0.0350000000000001
25%,-0.098,-0.0039999999999977,0.0010000000000012,-0.0040000000000013,-0.0019999999999988,-0.04,0.0430000000000063,0.0039999999999995,0.0279999999999986,0.1039999999999992,-0.0419999999999998,-0.2030000000000029,-0.1879999999999952,-0.0529999999999972,0.2510000000000012,0.1219999999999998,0.1619999999999999,-0.0919999999999987,0.1369999999999969,0.01,0.082,-0.4170000000000016,0.0289999999999963,0.0860000000000003,0.0730000000000004,0.0760000000000005,-0.0200000000000102,0.0399999999999991,-0.1959999999999997,-0.2759999999999998,0.0190000000000001,-0.0020000000000095,-0.4429999999999996,-0.5139999999999993,-0.0140000000000011,0.0099999999999909,0.024,-0.048,-0.014,0.0139999999999997,0.0089999999999998,0.0110000000000001,-0.009999999999998,0.2919999999999998,-0.037,0.0019999999999999,0.5129999999999999,-0.041,0.0119999999999999,0.01,0.082,-0.4170000000000016,0.0490000000000065,0.004999999999999,-0.0850000000000008,0.0480000000000018,0.0710000000000001,0.0589999999999975,0.0250000000000003,-0.2270000000000003,-0.2430000000000003,0.0190000000000001
50%,-0.098,0.0019999999999988,0.0070000000000014,0.0010000000000012,0.0030000000000001,-0.036,0.0740000000000122,0.0069999999999996,0.1540000000000034,0.1720000000000006,-0.024,-0.1730000000000018,-0.1539999999999963,-0.0319999999999964,0.2669999999999994,0.1559999999999988,0.181,-0.0649999999999977,0.1549999999999975,0.02,0.109,-0.4080000000000012,0.0510000000000019,0.1050000000000004,0.0940000000000012,0.0940000000000003,0.0009999999999905,0.0819999999999971,0.1639999999999997,-0.1750000000000007,0.0329999999999994,0.0139999999999957,-0.375,-0.1799999999999997,0.0019999999999988,0.0279999999999915,0.0380000000000002,-0.0179999999999997,0.0099999999999997,0.0249999999999999,0.0350000000000001,0.0219999999999997,0.0129999999999981,0.3239999999999998,-0.034,0.0119999999999999,0.5510000000000002,-0.039,0.0229999999999999,0.02,0.109,-0.4080000000000012,0.0840000000000031,0.0079999999999991,0.0069999999999978,0.0589999999999975,0.08,0.0719999999999885,0.0490000000000003,-0.1219999999999998,0.1199999999999992,0.0329999999999994
75%,-0.097,0.0090000000000003,0.0130000000000016,0.0079999999999991,0.0090000000000003,-0.03,0.0979999999999989,0.0090000000000003,0.240000000000002,0.2149999999999998,-0.0060000000000002,-0.1430000000000006,-0.0820000000000007,-0.0120000000000004,0.282,0.1859999999999999,0.1950000000000002,-0.0399999999999991,0.1729999999999982,0.033,0.132,-0.3979999999999997,0.0779999999999958,0.1239999999999996,0.1189999999999997,0.1089999999999999,0.0249999999999914,0.1179999999999985,0.3040000000000002,-0.0839999999999996,0.0449999999999999,0.0330000000000012,-0.3049999999999997,-0.0020000000000006,0.020999999999999,0.046999999999997,0.052,0.012,0.04,0.0369999999999999,0.0649999999999999,0.0350000000000001,0.0379999999999967,0.3499999999999996,-0.03,0.0269999999999999,0.5789999999999988,-0.037,0.0399999999999999,0.033,0.132,-0.3979999999999997,0.1039999999999992,0.0099999999999997,0.1499999999999985,0.066999999999993,0.0889999999999999,0.0819999999999936,0.0700000000000002,-0.0399999999999991,0.2509999999999994,0.0449999999999999
max,-0.092,0.0380000000000002,0.0420000000000015,0.0350000000000001,0.0360000000000013,0.187,0.362000000000009,0.0339999999999989,4.651000000000003,0.4430000000000014,0.1539999999999999,-0.0190000000000054,0.7190000000000012,0.0900000000000034,0.347999999999999,0.3989999999999973,0.282,0.0979999999999989,0.2409999999999996,0.118,0.227,-0.3170000000000001,0.2389999999999972,0.1909999999999998,0.3100000000000023,0.1870000000000002,0.1679999999999921,0.3780000000000001,4.109000000000002,7.402000000000001,0.2219999999999995,0.1079999999999898,1.0600000000000005,0.9429999999999996,0.0909999999999993,0.144999999999996,0.1160000000000001,0.1140000000000003,0.1739999999999999,0.0739999999999998,0.1789999999999998,0.0710000000000001,0.1169999999999973,0.6189999999999998,1.428,1.977,0.8839999999999986,0.254,0.6729999999999999,0.118,0.227,-0.3170000000000001,0.1900000000000119,0.0179999999999989,1.5889999999999986,0.1149999999999948,0.181,0.1569999999999964,0.141,7.414999999999999,4.082999999999998,0.2219999999999995
