,측정값_평면1_평면도,측정값_원1(I) <상>_D,측정값_원2(I) <중>_D,측정값_원3(I) <하>_D,"측정값_원통1(I) <- 원1, 원2, 원3의 측정점 병합_D","측정값_원통1(I) <- 원1, 원2, 원3의 측정점 병합_직각도",측정값_점2 <- 점1의 되부름 <열전 관리치수(Spec : 116.6±0.1)>_X,측정값_점2 <- 점1의 되부름 <열전 관리치수(Spec : 116.6±0.1)>_Y,측정값_각도1 <- 각도[XYPLAN]:직선2와 직선3_Ang,측정값_직선4 <27° 소재>_Y/X,측정값_직선5 <7.5° 소재>_Y/X,측정값_점3 <- 직선4와 직선5의 교차점 <소재>_X,측정값_직선6 <35.9° 소재>_Y/X,측정값_점4 <- 직선6와 직선5의 교차점 <소재>_X,측정값_점4 <- 직선6와 직선5의 교차점 <소재>_Y,측정값_직선7 <23.1°>_Y/X,측정값_직선8 <6°>_Y/X,측정값_점5 <- 직선8와 직선7의 교차점_X,측정값_점5 <- 직선8와 직선7의 교차점_Y,측정값_원4(E) <소재>_X,측정값_원4(E) <소재>_Y,측정값_원4(E) <소재>_D,측정값_점6 <- 직선9와 직선10의 교차점 <소재>_X,측정값_점6 <- 직선9와 직선10의 교차점 <소재>_Y,측정값_점7 <- 직선10와 직선11의 교차점 <소재>_X,측정값_점7 <- 직선10와 직선11의 교차점 <소재>_Y,측정값_점8 <- 직선13와 직선12의 교차점 <소재>_X,측정값_직선14 <23.1° 소재>_Y/X,측정값_직선16 <우상 소재>_X/Y,측정값_직선18 <좌상 소재>_X/Y,측정값_거리1 <- XAXIS[PT]:점9와 점10 <상>_DS,측정값_점13 <- 점11와 점12의 중점 <열전관리_상>_X,측정값_직선19 <좌하 소재>_X/Y,측정값_직선21 <우하 소재>_X/Y,측정값_거리2 <- XAXIS[PT]:점14와 점15 <하>_DS,측정값_점18 <- 점16와 점17의 중점 <열전관리_하>_X,측정값_점19 <상>_Y,측정값_점20 <하>_Y,측정값_원5(I) <상부>_Y,측정값_원5(I) <상부>_D,측정값_원6(I) <하부>_Y,측정값_원6(I) <하부>_D,측정값_거리3 <- XYPLAN[PT]:원5와 원통1_DS,측정값_평면2_Z,측정값_평면2_평면도,측정값_평면2_평행도,"측정값_평면3 <- 점21, 점22, 점23, ... , 점26의 측정점 병합 <마이크로미터로 측정 해볼 것 !!!!!!!!!!!!!!!!>_Z","측정값_평면3 <- 점21, 점22, 점23, ... , 점26의 측정점 병합 <마이크로미터로 측정 해볼 것 !!!!!!!!!!!!!!!!>_평면도","측정값_평면3 <- 점21, 점22, 점23, ... , 점26의 측정점 병합 <마이크로미터로 측정 해볼 것 !!!!!!!!!!!!!!!!>_평행도",측정값_원7(E) <- 원4의 되부름_X,측정값_원7(E) <- 원4의 되부름_Y,측정값_원7(E) <- 원4의 되부름_D,측정값_점28 <- 점27의 되부름 <소재 원점>_X,측정값_점28 <- 점27의 되부름 <소재 원점>_Y,측정값_각도2 <- 각도[XYPLAN]:직선23와 직선24_Ang,측정값_점29 <- 점13의 되부름 <소재원점>_X,측정값_점29 <- 점13의 되부름 <소재원점>_Y,측정값_점30 <- 점18의 되부름 <소재원점>_X,측정값_점30 <- 점18의 되부름 <소재원점>_Y,측정값_직선25 <- 직선18의 되부름_X/Y,측정값_직선26 <- 직선16의 되부름_X/Y,측정값_거리4 <- XAXIS[평균]:점32와 점31 <소재기준>_DS,품질상태
count,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0
mean,0.0023686274509803927,16.48802549019608,16.491360784313727,16.487386274509802,16.488903921568628,0.016458823529411765,116.67352156862745,-10.906892156862746,57.14663137254902,27.17164117647059,7.481119607843137,110.02807843137256,35.76659215686274,87.96704901960784,-24.272570588235293,-23.246982352941178,-6.1766588235294115,47.93177843137254,-16.262907843137256,0.004258823529411766,0.09689019607843137,25.692815686274507,44.152790196078435,6.598166666666666,54.092254901960786,5.1877627450980395,74.27705490196078,-23.18309411764706,14.560211764705883,-14.351203921568626,10.33400588235294,72.88999019607843,-14.125029411764706,14.246988235294118,10.306449019607841,72.90259411764707,-2.3433490196078437,-2.290170588235294,2.0080627450980395,3.5277999999999996,2.0309843137254906,3.5258568627450977,46.51679019607843,12.321233333333332,0.019843137254901964,0.08049019607843137,12.344233333333332,0.012158823529411765,0.08681568627450979,0.004258823529411766,0.09689019607843137,25.692815686274507,116.67218627450981,-10.906747058823528,57.10840588235293,72.92604705882353,-2.3796176470588235,72.93861960784314,-2.351529411764706,-14.397417647058822,14.514017647058823,10.334,1.0
std,0.000579102413681553,0.008205928738335692,0.00879247933749869,0.009173604391275908,0.008501738197042141,0.010967055085024071,0.02614427488990317,0.00245952246209595,0.1692115931532007,0.07536506222196897,0.03747831603386053,0.03693856373301981,0.08132806261928044,0.02872311331876491,0.022583656260782233,0.04564346412834482,0.025073433811358348,0.03629447242183534,0.025609070586827654,0.02822592808562595,0.038467700098206596,0.014337407247516816,0.0352147091236719,0.030202227156500165,0.0381520292184757,0.02610558477223448,1.2686372129648973,0.054470328296610644,0.2626440258994882,0.17000434983546753,0.018908994250402954,0.021966260562619928,0.13646490052137764,0.28697174388197794,0.021778496203269933,0.023158333559802763,0.01974104828141413,0.036287548369205176,0.037144384354970125,0.017949700513560745,0.03966673234872703,0.018963440733180504,0.03554455824435908,0.03830503240477819,0.06712003514480358,0.09457888726075239,0.047090249707882705,0.014901914757714978,0.0397298014196448,0.02822592808562595,0.038467700098206596,0.014337407247516816,0.03150461667985297,0.002953593458608318,0.1436640439677953,0.013133055715737274,0.014031709891118283,0.014580728724606385,0.02810208232653737,0.16890089653709453,0.26403267807360487,0.018912994877744258,0.0
min,0.0,16.465,16.457,16.466,16.465,0.001,116.54,-10.914,55.365,26.939,7.354,109.91,35.397,87.709,-24.437,-23.437,-6.278,47.822,-16.363,-0.079,-0.006,25.653,44.059,6.514,54.012,5.103,61.442,-23.755,13.701,-15.431,10.287,72.801,-15.126,12.878,10.251,72.814,-2.407,-2.382,1.898,3.479,1.913,3.432,46.379,12.224,0.006,0.018,12.187,0.003,0.026,-0.079,-0.006,25.653,116.603,-10.913,56.555,72.891,-2.42,72.893,-2.428,-15.453,13.635,10.287,1.0
25%,0.002,16.48225,16.485,16.48,16.483,0.01,116.65725,-10.909,57.0835,27.10725,7.462,110.006,35.713,87.952,-24.287,-23.272,-6.193,47.913,-16.280749999999998,-0.015,0.067,25.683,44.129,6.579,54.072,5.171,74.38325,-23.214,14.318249999999999,-14.444,10.32,72.876,-14.199,13.987,10.29,72.886,-2.356,-2.314,1.983,3.515,2.005,3.514,46.489,12.29425,0.013,0.05525,12.314,0.009,0.065,-0.015,0.067,25.683,116.642,-10.909,57.002750000000006,72.916,-2.39,72.92725,-2.372,-14.48275,14.27,10.32,1.0
50%,0.002,16.489,16.492,16.488,16.489,0.014,116.678,-10.907,57.156499999999994,27.182499999999997,7.478,110.031,35.7495,87.968,-24.274,-23.247,-6.177,47.934,-16.263,0.002,0.103,25.693,44.151,6.598,54.091,5.188,74.405,-23.188,14.618,-14.343,10.336,72.888,-14.118,14.297,10.307500000000001,72.902,-2.343,-2.2915,2.006,3.525,2.033,3.523,46.516,12.325,0.016,0.068,12.349,0.011,0.077,0.002,0.103,25.693,116.677,-10.907,57.106,72.928,-2.379,72.942,-2.352,-14.3925,14.5785,10.336,1.0
75%,0.003,16.494,16.498,16.494,16.495,0.02,116.693,-10.905,57.247,27.224,7.49775,110.054,35.82625,87.984,-24.258,-23.22,-6.159,47.951,-16.245,0.02375,0.124,25.702,44.175,6.617,54.10975,5.207,74.424,-23.153,14.77375,-14.2485,10.348,72.904,-14.049,14.475750000000001,10.323,72.917,-2.329,-2.267,2.036,3.539,2.05775,3.537,46.541,12.349,0.02,0.081,12.376,0.013,0.096,0.02375,0.124,25.702,116.697,-10.904,57.20675,72.936,-2.37,72.949,-2.333,-14.2995,14.73175,10.348,1.0
max,0.004,16.509,16.514,16.509,16.51,0.117,116.747,-10.894,57.486,27.389,7.98,110.133,36.16,88.066,-24.21,-23.1,-6.1,48.103,-16.182,0.08,0.239,25.732,44.303,6.725,54.597,5.272,74.54,-22.997,15.142,-13.271,10.391,72.963,-13.118,15.083,10.361,72.985,-2.292,-2.179,2.115,3.576,2.185,3.577,46.624,12.601,1.528,2.035,12.455,0.325,0.468,0.08,0.239,25.732,116.742,-10.9,57.798,72.962,-2.341,72.99,-2.265,-13.336,15.094,10.391,1.0
