파일명,component_0,component_1,component_2,component_3,품질상태
230312_일상검사_주_초_1-1-1_OK.csv,0.014196490613001395,-0.7977156207557625,0.4954678292286334,-0.12662921128894056,1
230312_일상검사_주_초_1-2-1_OK.csv,0.009911018691427612,-0.7862908299905711,0.2631751099735012,-0.010449260169346317,1
230312_일상검사_주_초_1-3-1_OK.csv,0.058222724398220536,-0.9248516184851069,0.4310792352781747,0.010070718295469044,1
230312_일상검사_주_초_1-4-1_OK.csv,0.03715660268169981,-0.8998944359763202,0.4287602301912865,0.06425934319488681,1
230312_일상검사_주_초_1-5-1_OK.csv,0.11001830268630286,-0.8986019317823017,0.547630433593237,0.2134100418607685,1
230312_일상검사_주_초_1-6-1_OK.csv,0.04336997468602941,-0.673454847049031,0.2934177376580378,-0.09652971019768024,1
240112_일상검사_주_초_2-6-1_NG.csv,-0.046561880134349434,-0.5599348671034704,0.009436465315783557,0.14781750154110804,0
240113_일상검사_야_초_1-1-1_OK.csv,0.09234620428978187,-0.08162682577581859,-0.44982690691762617,0.09599092145101487,1
240113_일상검사_야_초_1-2-1_OK.csv,0.10429861092521385,-0.09190955398002851,-0.3001410315301195,0.04078072724831192,1
240113_일상검사_야_초_1-3-1_OK.csv,0.11166666985468898,-0.13085181410225832,-0.01763045356116085,0.2762995060524398,1
240113_일상검사_야_초_1-4-1_OK.csv,0.05808137201595591,-0.05707072948391796,-0.27537781867847766,0.1132892406010225,1
240113_일상검사_야_초_1-5-1_OK.csv,0.07636347657115936,0.16322867236107585,-0.24055264460960385,0.04728166979114754,1
240113_일상검사_야_초_1-6-1_NG.csv,0.13634844668259768,0.1355251416669019,-0.2757688743821032,0.17606564397169747,0
240113_일상검사_야_초_2-1-1_NG.csv,0.07823662144448923,0.5033199060759347,-0.6495711243496434,0.2090160104226451,0
240113_일상검사_야_초_2-2-1_NG.csv,0.12659121913970683,0.747705268796173,0.08835089080099598,0.10967968080670207,0
240113_일상검사_야_초_2-3-1_OK.csv,0.06807431003133235,0.610627175735033,0.2535772007637114,0.2737975206532838,1
240113_일상검사_야_초_2-4-1_NG.csv,0.18154973239545855,1.0809699540641249,-0.040248298796545914,-0.028016130257321997,0
240113_일상검사_야_초_2-5-1_NG.csv,0.19328800785846778,0.7055195140622593,0.22420536086603918,0.17735321796427414,0
240113_일상검사_야_초_2-6-1_NG.csv,0.17478121362325683,0.7249246864217476,0.37958034455375433,0.0933643170770067,0
240113_일상검사_주_초_1-1-1_NG.csv,0.1681408764222839,0.7099229831414291,0.39370786504319527,-0.09113060103957155,0
240113_일상검사_주_초_1-2-1_OK.csv,0.1176890328893967,0.6473301487720733,0.12789860744519177,0.10430906977102228,1
240113_일상검사_주_초_1-3-1_OK.csv,0.10574440567727621,0.8009671451181792,1.6664730601002775,0.035460722104817294,1
240113_일상검사_주_초_1-4-1_NG.csv,0.08188255627967184,0.7495244003947621,0.27147687876937304,0.03605132124427832,0
240113_일상검사_주_초_1-5-1_OK.csv,0.06634953192281004,0.2538210496258346,0.1977020120013645,0.012298833897265007,1
240113_일상검사_주_초_1-6-1_OK.csv,0.047139378048969005,0.5071525071063562,0.06538793032673818,0.2795326271726894,1
240113_일상검사_주_초_2-1-1_OK.csv,0.11278676532853134,0.2646139825707134,-0.3834685230437988,0.0781515174538025,1
240113_일상검사_주_초_2-2-1_NG.csv,0.14290754793736693,-0.02173240646454054,-0.4090125191882651,0.25614385267060663,0
240113_일상검사_주_초_2-3-1_OK.csv,0.054990536041731174,-0.10010331912092515,0.5223441771719737,-0.056379949692359925,1
240113_일상검사_주_초_2-4-1_OK.csv,0.12480852008763692,-0.5994056258052669,0.19420801287678122,0.3998066139566362,1
240113_일상검사_주_초_2-5-1_OK.csv,0.06544170011938207,-0.3866108193382582,-1.1211479247169895,-0.4581641956183517,1
240113_일상검사_주_초_2-6-1_NG.csv,0.07728037108825193,-0.14542183105692058,-0.11553240513249913,0.1714133215832714,0
240115_일상검사_주_초_2-3-1_OK.csv,0.021912618983443224,-0.17032253229481112,-0.08513191882253276,-0.19623170465561454,1
240115_일상검사_주_초_2-4-1_OK.csv,0.010287037205015061,0.017250995431075195,-0.10615341187502818,-0.44444862093237186,1
240116_일상검사_야_중_1-1-1_NG.csv,0.14696889952340034,0.6922679252424333,0.2155422283995932,0.05965642690111246,0
240116_일상검사_야_중_1-2-1_NG.csv,0.12554173401693428,0.6084368647581861,-0.22315034349109825,-0.1455593903878004,0
240116_일상검사_야_중_1-2-1_OK.csv,0.09792046791605534,0.6312358999573991,0.9236020027065925,-0.00768636721917193,1
240116_일상검사_야_중_1-3-1_NG.csv,49.53435027825859,-0.367170810658781,-0.16459456007469878,0.033910579884145864,0
240116_일상검사_야_중_1-4-1_NG.csv,0.11554757800136208,0.7005999173083602,-0.1570848781745593,0.1791072945561811,0
240116_일상검사_야_중_1-4-1_OK.csv,0.04228646208823859,0.026631952335888352,-0.4335359156397088,0.11989717456091134,1
240116_일상검사_야_중_1-5-1_NG.csv,0.11424610210608409,0.5730726801135747,0.235844052064889,0.08669813203749066,0
240116_일상검사_야_중_1-6-1_NG.csv,0.15705516939577283,0.7952380135164152,-0.10882057723616403,-0.054210765097508315,0
240116_일상검사_야_중_2-1-1_OK.csv,0.10861565580505922,0.3791731265108345,0.10666038073101677,0.29017702913670335,1
240116_일상검사_야_중_2-2-1_OK.csv,0.0923195508015827,0.6409633435866756,0.08937261028008667,0.12906857053504053,1
240116_일상검사_야_중_2-3-1_NG.csv,0.1359725990358,0.6933442128389766,0.25125774128591327,0.0950065614825152,0
