파일명,component_0,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10,component_11,component_12,component_13,component_14,component_15,component_16,component_17,component_18,component_19,component_20,component_21,component_22,component_23,component_24,component_25,품질상태
230312_일상검사_주_초_1-1-1_OK.csv,0.22883589799284748,0.44463291905365265,0.20648965049416287,-0.3594081655132364,-0.29817146748592765,0.1900929759670175,-0.01548428904736158,-0.15841206564940258,-0.6540832470066602,-0.40952993221237755,0.09253561064432815,-0.4516005464457099,-0.4172520138871405,0.1178203576938866,0.18263741312406637,0.12160445334739002,-0.21529895375001049,0.14449822356421202,0.11404978248495777,-0.06696249518046171,0.0053299524460584165,-0.27187380900851754,0.01878278586077993,0.13072423973933375,-0.2119252109962939,-0.8671455915478562,1
230312_일상검사_주_초_1-2-1_OK.csv,-0.49940139638635367,-0.46984117480873655,-0.26243400703592784,0.11177996864944018,0.06740617509083213,-0.24229987272864814,-0.05264154221309287,0.022573896459576432,0.09452046393303165,-0.04347195046303351,0.01555480142736468,-0.3533817989341517,-0.17607205049300084,-0.018855556019116967,0.11153237429722142,0.13983928126117687,0.0027090192880312508,-0.013773107207046309,0.10130601665995988,-0.1415258560169251,0.021739012993982232,-0.32398587335769363,-0.009534503229889229,0.1888838019242029,-0.26191153886685176,-0.2940720223298567,1
230312_일상검사_주_초_1-3-1_OK.csv,0.6105414197799522,-0.1718571918041055,-0.1484358977140355,-0.006345139159245025,0.1328289626251536,-0.11275403315396776,-0.031556749101729085,-0.04980000278408462,-0.05417914754186227,-0.14992986603696679,-0.15727766534199977,-0.41666323738381617,-0.12247666048515528,0.02728217513781873,-0.15829850576180676,0.4038109067655293,-0.0029905614872098455,0.23023843087051704,0.3265501859914809,-0.24735657351638657,-0.13950211865523354,0.19432503185465402,-0.3360853798461037,0.2472713594791957,-0.3167617180388288,-0.5839545890696247,1
230312_일상검사_주_초_1-4-1_OK.csv,2.8477643670719104,-0.18351606990750235,-0.17298628455821888,-0.231303998123734,0.3419910770969789,0.04334750787503831,-0.049982194662685914,-0.4782382684757442,0.18006671941082686,0.6727491987874172,-0.2957478060225543,-0.49667173677976995,-0.41754685956185,-0.07615464579669057,0.1540755741467726,0.20418777013847675,-0.3485142008448541,-0.16412575689603745,0.36295728372143804,-0.1413727817533142,-0.09640381039338641,-0.12371806702899325,-0.24174421751949113,-0.19893108009904323,-0.06121654581043269,-0.5406966152107984,1
230312_일상검사_주_초_1-5-1_OK.csv,-0.5034264567608059,-0.38634190218342546,-0.17842650384179157,0.10248827368389098,0.03898701490111533,-0.2784157633432096,-0.06041226968384158,0.08937571675377964,0.11634264519733331,-0.024972871646638323,0.01786791642581952,-0.45910320578597297,-0.19010880531792526,-0.046896946789518994,0.1346550187971329,0.14080898126942673,-0.024174886009012832,0.008158507646306929,0.14434041543753723,-0.1005402073978788,0.022161582451651528,-0.3475034048155272,-0.013245166687400181,0.22113203811160273,-0.21664164134951355,-0.41867581505990514,1
230312_일상검사_주_초_1-6-1_OK.csv,-0.5174384090093125,-0.2510122989548248,-0.10076099128352174,0.02246391828933194,-0.04200287537357114,-0.192550741182465,-0.05481273957841291,0.050744229005027265,-0.029412732822354376,-0.09246406449315546,0.018048099469331298,-0.4602548319873207,-0.21003908190755727,-0.01958870508118342,0.14257586386761753,0.12494464646218387,-0.041030374492231104,0.012241448577909183,0.12156238047193951,-0.09148346781074322,0.028472127659790188,-0.3425635870229832,-0.004855342359995876,0.2223187603793723,-0.22576465676071975,-0.48737623273605707,1
240112_일상검사_주_초_2-6-1_NG.csv,0.4386573705454364,-0.1414255978296675,-0.40867930875068087,-0.0034046137129932845,0.1938534057391236,-0.10863103411076293,-0.018042142827921447,0.45622807981806635,-0.14341339386624066,-0.6770347040205259,-1.977569940775889,0.34150372529796624,1.3283651912387813,-0.9516645951974032,0.3239101484937211,-0.3231390968583177,0.8916672853217027,0.36394104566295454,-0.2373214342986259,-0.19165293759965513,-1.1876158156734735,-1.200399714452217,0.09082399824093676,-1.920237250563751,0.667592510379399,-0.5141472706270508,0
240113_일상검사_야_초_1-1-1_OK.csv,-0.4708027092732466,1.0653395078214265,0.5571409127332742,-0.8896127650863696,-0.7125490506016099,0.9439171302105782,-0.0058594361629154745,0.25821212933047355,-1.279362386069027,-0.9415632585646638,-0.571671212192809,-1.5250154722441844,1.5587592174256784,0.17834929795973822,0.45942692876226043,-0.5900889617136783,0.8281960192819887,0.4821765396867301,-0.010445149278168251,0.27548998603734237,0.44044521909712225,-1.02731420614539,0.16298977120967295,-2.0704072805074207,0.14207010504778436,-1.0967945481785637,1
240113_일상검사_야_초_1-2-1_OK.csv,-0.38195231439918853,0.7745949792019895,0.5711564644604297,-0.8483412551124423,-0.5955407835823647,0.9108430101018564,-0.028510559482947846,0.4979089265858537,-1.0162976904738186,-0.8833400449704568,-0.7266928698811528,-1.7929716356355876,2.153693659347482,0.07074884875490897,0.4412776048630634,-0.698458096291987,1.1856580632049163,0.5679100670415889,0.09478234110354881,0.32807891918505794,0.548344446532761,-1.2318156132806868,0.17689995599939057,-2.7025752276116655,0.4213843034885499,-0.7539577496576985,1
240113_일상검사_야_초_1-3-1_OK.csv,-0.5801267725485453,-0.24719291018848916,0.2644904825759358,-0.18608737938700642,-0.22634423114348043,0.08856571204780388,-0.0787717999237741,0.040355342151687575,-0.18131782172205577,-0.0573738009976256,0.5858843743201417,-0.9716843294756355,-0.12981623155303923,-0.18586654563435298,0.3317192100743423,-0.012047285838418331,-0.20617314411725565,0.16312184748246442,0.13560701600571773,-0.004613121550366685,0.31561115164933345,-0.3527437363821807,0.045639344149834775,0.2860629195059658,0.43663488762559305,-1.3784812110729774,1
