파일명,component_0,component_1,component_2,component_3,component_4,component_5,component_6,품질상태
230312_일상검사_주_초_1-1-1_OK.csv,0.23825334914606758,0.5169464948269604,-0.5396774542771618,0.01915566761080989,-0.6253517493923231,-0.40652575753151654,-0.013401591262305501,1
230312_일상검사_주_초_1-2-1_OK.csv,-0.47662417352059755,-0.404630648635271,0.3007943942376128,-0.26338136128211076,0.15065116329999553,0.06062949475738169,-0.0009384101782039939,1
230312_일상검사_주_초_1-3-1_OK.csv,0.646197981656068,-0.09078245849278437,0.04650187409696541,-0.21606119532636808,-0.009920965120840232,0.03829858998036068,-0.18750656977270674,1
230312_일상검사_주_초_1-4-1_OK.csv,2.9150404180653133,-0.09750041807091667,0.0005442709109280096,0.28530630141227076,0.14274788247535106,0.8434192371817418,-0.08908216652089809,1
230312_일상검사_주_초_1-5-1_OK.csv,-0.4833786993141228,-0.3277791162054401,0.20661374504220487,-0.36310693215659706,0.16854499694178432,0.11244549794897818,-0.033251980937138936,1
230312_일상검사_주_초_1-6-1_OK.csv,-0.5012491262198021,-0.19105147344987852,0.06516020308566588,-0.2945272344456177,0.01901194039475341,0.02140760335314969,-0.018759264886477084,1
240112_일상검사_주_초_2-6-1_NG.csv,0.34506190683306665,-0.180396697155441,0.3703723924487174,-0.392032878097933,0.22222719940184335,0.13003216631164174,0.12046073093099607,0
240113_일상검사_야_초_1-1-1_OK.csv,-0.6920388543539115,1.12630212042937,-1.156623917935851,0.29662842306849047,-1.2024330960562186,-0.6986917021657029,-0.1639638162778188,1
240113_일상검사_야_초_1-2-1_OK.csv,-0.6584308925662148,0.8189873008984273,-1.0652410269026094,0.14566977444619494,-0.9192884740385263,-0.49191456681107865,-0.29449122624738044,1
240113_일상검사_야_초_1-3-1_OK.csv,-0.5794849446132044,-0.19267352980220065,-0.41119565285721593,-0.132277632466916,-0.19818116755079243,-0.04945867120380091,-0.5468846404290597,1
240113_일상검사_야_초_1-4-1_OK.csv,-0.5320513936230941,-0.006442378535385596,-0.45587857938271703,0.31262190826234526,-0.2544535274046488,0.5881763444693765,-0.14347967003540277,1
240113_일상검사_야_초_1-5-1_OK.csv,-0.5534469722736117,-0.05748524928287556,-0.24793390077372543,-0.17097199373213987,-0.18482969527877616,-0.07422162057900358,-0.26147293077728573,1
240113_일상검사_야_초_1-6-1_NG.csv,-0.5525741245257567,0.2301748319477934,-0.8274143260619451,-0.16597150248483916,-0.34578440935812677,-0.0934726912000307,-0.286655798805695,0
240113_일상검사_야_초_2-1-1_NG.csv,-0.5927167948531382,0.37537782367413364,-1.342819135422156,-0.19361760213732826,-0.45836094253996673,-0.07077105178902546,-0.6123000375368233,0
240113_일상검사_야_초_2-2-1_NG.csv,-0.7206272515878036,1.4333027294595744,-2.330653835987815,0.3051017824379651,-1.5068781737298795,-0.7128973140913596,-0.5995797890317137,0
240113_일상검사_야_초_2-3-1_OK.csv,-0.57055605083343,-0.008503732619105711,-0.3742725818486667,-0.11971508465854264,-0.27938803877613766,-0.12378214764422972,-0.32180709544564723,1
240113_일상검사_야_초_2-4-1_NG.csv,-0.5823513820147288,0.20042048706570514,-2.021208081928059,-0.45826243341120976,-0.15250835725071374,0.3105096917125171,-1.254463908875095,0
240113_일상검사_야_초_2-5-1_NG.csv,-0.5921437692544076,0.08242633865325463,-1.437215017079963,-0.27775792789637116,-0.25884860188051934,0.1079752213115966,-0.9685706842089894,0
240113_일상검사_야_초_2-6-1_NG.csv,-0.6033708156154919,0.7122766663506142,-2.0383651735329416,-0.2701771028666985,-0.5660168965636484,-0.01910183841394847,-0.7982729335192561,0
240113_일상검사_주_초_1-1-1_NG.csv,-0.47193042778503147,-0.20535413789060292,-0.842989611901363,-0.6315643098438914,0.2958975252004804,0.42398904522376785,-0.5526207307840325,0
240113_일상검사_주_초_1-2-1_OK.csv,-0.48164106678295215,-0.35682579112679613,-0.08221768052456445,-0.40476562417587036,0.16366743761786995,0.16480377191361167,-0.1655677692797051,1
240113_일상검사_주_초_1-3-1_OK.csv,-0.47816008909157937,-0.4273742360650709,0.20667834153254522,-0.4280389954388804,0.23101558866775815,0.0781076468842171,1.6890073529528526,1
240113_일상검사_주_초_1-4-1_NG.csv,-0.4704910943178997,-0.057971463555469505,-0.5970227492685494,0.07428170027294412,-0.017203112136131144,0.8001339628475906,-0.063484985564837,0
240113_일상검사_주_초_1-5-1_OK.csv,-0.4813272616691531,-0.3419533713020896,0.15454500245092687,-0.34172153050895193,0.11219219291658969,0.07558512268036194,0.009189212913825254,1
240113_일상검사_주_초_1-6-1_OK.csv,-0.5009720058378841,-0.17872782578860594,0.016454424585107486,-0.27207736024302936,-0.039775283600323966,-0.017533551168270184,0.02501235387588177,1
240113_일상검사_주_초_2-1-1_OK.csv,-0.3887938593753866,-0.11319402494662824,0.21971946505135234,-0.26834031520749035,-0.06769756587966429,-0.11029704081041515,0.8752212364346603,1
240113_일상검사_주_초_2-2-1_NG.csv,-0.5648789737496784,0.05879729752289326,-0.5885090099042447,-0.38775989089756396,-0.18271891692680156,0.00902947452411318,-0.4028082773571667,0
240113_일상검사_주_초_2-3-1_OK.csv,-0.4502146042366345,-0.26588584942702304,0.3240930610750843,-0.38808428748814006,0.1415388890161972,0.06126963751667862,0.29475981329061646,1
240113_일상검사_주_초_2-4-1_OK.csv,-0.4464218536657306,-0.3808523669605378,0.5105050871902196,-0.867525180559694,0.34080887777087077,-0.5675270801116908,0.24574597918212843,1
