파일명,component_0,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10,component_11,component_12,component_13,component_14,component_15,component_16,품질상태
230312_일상검사_주_초_1-1-1_OK.csv,0.2382534042916549,0.5169420820795367,-0.5396719006519081,0.01915398436766137,-0.6254024512905798,-0.4065373408796722,-0.013293713063920052,-0.03441422012373906,0.39049410817105656,-0.04426332532345295,-0.07063563726924435,-0.005771237094387818,-0.026901179347369727,-0.05861825243655869,0.03376256173328235,-0.8076411646285392,0.0875727079316117,1
230312_일상검사_주_초_1-2-1_OK.csv,-0.4766241874188257,-0.4046294934638193,0.30079490605635895,-0.2633827616730174,0.15066916673317524,0.06064024571303137,-0.000970181545558717,-0.027075831535431624,0.12329468702358475,-0.03701060699346752,-0.0507005930380378,-0.0511673289090709,0.11983933259025162,-0.019705552618617304,-0.019424434113417433,-0.3171860325665071,0.0827651606988307,1
230312_일상검사_주_초_1-3-1_OK.csv,0.6461976761419983,-0.09077094002949902,0.046535053884841214,-0.21608542091219476,-0.009738250413289106,0.0384774894669868,-0.18769862730932027,0.13762759073988814,0.08001196689737888,-0.0525394194894555,-0.0639630756526493,0.060726324123857436,-0.05188460584236981,-0.3816353322630249,-0.11306271040283279,-0.4570448819090106,0.08015002465659773,1
230312_일상검사_주_초_1-4-1_OK.csv,2.9150408331057553,-0.09751580215532676,0.0004980629332824681,0.2853413032429985,0.14249709267068078,0.8431694256913224,-0.08882570730247673,0.10812810709055139,0.13595381858303263,-0.04851171841331574,-0.03860387796207485,-0.006206315347225123,-0.2779732377825314,-0.24125331590439014,0.020275273535791616,-0.7028506653731155,-0.9160844821598528,1
230312_일상검사_주_초_1-5-1_OK.csv,-0.4833787310810715,-0.327777283797267,0.20661593220404617,-0.3631086540331127,0.16857239057395754,0.11246668875382157,-0.033299251026764405,-0.0804664882549176,0.19191721681935206,-0.0462216607661501,-0.05924811325085045,-0.03345230469486566,0.15089522763948432,-0.022415958836555946,0.03760816833728664,-0.44083143009877845,0.10467211226952314,1
230312_일상검사_주_초_1-6-1_OK.csv,-0.5012491450102775,-0.1910507275169974,0.06516303264948096,-0.29452884544994495,0.019025515468282607,0.021423385359417683,-0.018779575427293565,-0.07189143863811043,0.21010813921248273,-0.044882055896969426,-0.05670183413536582,-0.03731872608076644,0.1602429771824351,-0.016471762819978326,0.031078140429342538,-0.4997842715236147,0.09747090446202868,1
240112_일상검사_주_초_2-6-1_NG.csv,0.34506178842127755,-0.18039144619206546,0.3703844812521394,-0.39204235396783854,0.22230829293525484,0.13010374613276035,0.12036631874920452,0.20944056887246187,-0.2767208711690563,-0.11918523569288218,-0.03865321949763436,0.06229480570040931,-0.05980680707082223,-0.21898734161853084,-0.41239923269981404,-0.24177597155543792,0.05727458739324728,0
240113_일상검사_야_초_1-1-1_OK.csv,-0.6920387879848727,1.1262949072221287,-1.1566130837955553,0.2966252672514805,-1.2025162332304469,-0.6987047876269041,-0.16378160676069473,-0.2769216776513751,0.5368611849760041,-0.025744158599541635,-0.049848671530445865,-0.08512759390727105,0.26728035992476673,0.03913551924694475,0.34251778712421166,-1.274585676733755,0.09654774422841238,1
240113_일상검사_야_초_1-2-1_OK.csv,-0.6584308532762295,0.8189822941547814,-1.0652312806066573,0.14566653866912038,-0.9193440748087421,-0.49191654555602554,-0.2943620014090437,-0.38205625775024615,0.4604302335866254,-0.010914171748658769,-0.051092636689234014,-0.06964586598220693,0.2151033461353315,0.03205466387288651,0.5685441017533576,-0.9894797015355081,0.12329467341984279,1
240113_일상검사_야_초_1-3-1_OK.csv,-0.579485005131051,-0.19267155517992296,-0.41118577979010823,-0.13228448898714767,-0.19814223894679361,-0.04941120686037381,-0.5469227958508945,-0.6206141329996243,0.6263141857271219,-0.01268285066631223,-0.07581953768862529,-0.06404376591275764,0.24054476224955137,0.011549795913939231,0.902020984875208,-1.226954740944665,0.21600379061252586,1
240113_일상검사_야_초_1-4-1_OK.csv,-0.5320512038762822,-0.006449934786998635,-0.45589431536436964,0.3126345190682182,-0.2545677550350946,0.588075217491794,-0.1433463064990063,-0.3095287329884513,0.4856752637801169,-0.04250374764488813,-0.06285063701448179,-0.06390097440784148,0.24999865014691985,0.0152297428775277,0.45836759037700125,-0.9902362277649239,-0.6704081978265073,1
240113_일상검사_야_초_1-5-1_OK.csv,-0.553447001135246,-0.05748470534262287,-0.24792730049541153,-0.17097601668792653,-0.18481406256862587,-0.0741948444892897,-0.2614823373390968,-0.3292359938073128,0.4199075527166369,-0.02951098613839388,-0.06456825110030748,-0.05355909075329644,0.20468130189710218,0.0005717604044951884,0.4346091664162537,-0.8846433034257086,0.14872419654788968,1
240113_일상검사_야_초_1-6-1_NG.csv,-0.5525741148455413,0.23017303499211803,-0.827409382361729,-0.16597239419613546,-0.34580772680292304,-0.09347415886149854,-0.28659099317057646,-0.24703169963755675,-0.11488187970691126,0.2713016102141644,-2.338835213525701,-0.36558678447405407,0.21932790396545945,0.011876942105863677,0.9902461898923719,-0.25040574673590893,0.1552541137318044,0
240113_일상검사_야_초_2-1-1_NG.csv,-0.5927167794883148,0.3753755518941202,-1.3428132841689209,-0.1936183334614259,-0.45838830715808343,-0.07076992016891484,-0.612235147829019,-0.617812793104079,-0.013004480455376098,0.04427642746589246,-0.028277355326620134,-0.009335460273276157,-0.000814786118525368,0.023199402683884675,1.231336200284184,0.27109322821126325,0.1547827884884293,0
